parkinggeohash,avglatitude,avglongitude,city,county,state,country,iso_3166_2,avgtimetopark,avgtimetoparkratio,totalsearching,percentsearching,avguniquegeohashes,avgtotalgeohashes,circlingdistribution,hourlydistribution,percentcar,percentmpv,percentldt,percentmdt,percenthdt,percentother,updatedate,version
dphgrc2,39,-82,Columbus,Franklin,Ohio,United States of America,US-OH,9,2,6,0,5,8,"{""dphgrc1"":0.1097, ""dphgrc3"":0.2323, ""dphgrc2"":0.1775, ""dphgr9r"":0.1036, ""dphgrc9"":0.0321, ""dphgrc0"":0.2002, ""dphgrc8"":0.0375, ""dphgr9x"":0.008, ""dphgr9p"":0.099}","{""00"": null, ""01"": null, ""02"": null, ""03"": null, ""04"": null, ""05"": 0.1667, ""06"": 0.1667, ""07"": null, ""08"": 0.1667, ""09"": 0.1667, ""10"": null, ""11"": null, ""12"": 0.1667, ""13"": null, ""14"": 0.1667, ""15"": null, ""16"": null, ""17"": null, ""18"": null, ""19"": null, ""20"": null, ""21"": null, ""22"": null, ""23"": null}",0,0,0,0,0,0,2018-05-02,1
dphgr9r,39,-82,Columbus,Franklin,Ohio,United States of America,US-OH,7,1,24,0,5,8,"{""dphgrc8"":0.0235, ""dphgr9p"":0.0493, ""dphgr9n"":0.2105, ""dphgr9r"":0.2864, ""dphgr9x"":0.0047, ""dphgr9w"":0.0271, ""dphgrc2"":0.0618, ""dphgr9q"":0.1058, ""dphgrc0"":0.231}","{""00"": 0.0769, ""01"": null, ""02"": null, ""03"": null, ""04"": null, ""05"": 0.0769, ""06"": null, ""07"": 0.0769, ""08"": 0.0769, ""09"": null, ""10"": 0.0769, ""11"": 0.0769, ""12"": 0.0769, ""13"": 0.0769, ""14"": 0.0769, ""15"": 0.0769, ""16"": 0.0769, ""17"": 0.0769, ""18"": null, ""19"": null, ""20"": null, ""21"": 0.0769, ""22"": null, ""23"": null}",0,0,0,0,0,0,2018-05-02,1
dphgr7h,39,-82,Columbus,Franklin,Ohio,United States of America,US-OH,5,1,8,0,5,8,"{""dphgr7k"":0.0718, ""dphgr7j"":0.167, ""dphgr7h"":0.2184, ""dphgr75"":0.0667, ""dphgr6g"":0.1693, ""dphgr6u"":0.1123, ""dphgr77"":0.1554, ""dphgr7m"":0.039}","{""00"": null, ""01"": null, ""02"": null, ""03"": null, ""04"": null, ""05"": null, ""06"": null, ""07"": null, ""08"": null, ""09"": 0.25, ""10"": 0.25, ""11"": null, ""12"": 0.25, ""13"": null, ""14"": null, ""15"": null, ""16"": 0.25, ""17"": null, ""18"": null, ""19"": null, ""20"": null, ""21"": null, ""22"": null, ""23"": null}",0,0,0,0,0,0,2018-05-02,1
dphgr79,39,-82,Columbus,Franklin,Ohio,United States of America,US-OH,6,2,6,0,6,10,"{""dphgr78"":0.2812, ""dphgr7d"":0.062, ""dphgr72"":0.1417, ""dphgr7b"":0.076, ""dphgr76"":0.0757, ""dphgr79"":0.1606, ""dphgr73"":0.0545, ""dphgr7c"":0.086, ""dphgr7f"":0.0623}","{""00"": null, ""01"": null, ""02"": null, ""03"": null, ""04"": null, ""05"": null, ""06"": null, ""07"": 0.25, ""08"": null, ""09"": 0.25, ""10"": null, ""11"": null, ""12"": 0.25, ""13"": null, ""14"": 0.25, ""15"": null, ""16"": null, ""17"": null, ""18"": null, ""19"": null, ""20"": null, ""21"": null, ""22"": null, ""23"": null}",0,0,1,0,0,0,2018-05-02,1
dphgw8w,39,-83,Columbus,Franklin,Ohio,United States of America,US-OH,6,1,6,0,5,7,"{""dphgw8v"":0.1334, ""dphgw8r"":0.0442, ""dphgw8w"":0.2215, ""dphgw8y"":0.1243, ""dphgw8q"":0.0579, ""dphgw8m"":0.2903, ""dphgw8t"":0.1283}","{""00"": null, ""01"": null, ""02"": null, ""03"": null, ""04"": null, ""05"": null, ""06"": null, ""07"": null, ""08"": 0.25, ""09"": null, ""10"": 0.25, ""11"": null, ""12"": null, ""13"": null, ""14"": null, ""15"": null, ""16"": null, ""17"": 0.25, ""18"": 0.25, ""19"": null, ""20"": null, ""21"": null, ""22"": null, ""23"": null}",0,0,0,0,0,0,2018-05-02,1
dpj57nt,39,-82,Columbus,Franklin,Ohio,United States of America,US-OH,4,1,28,0,4,6,"{""dpj57nt"":0.2376, ""dpj57nm"":0.4087, ""dpj57ns"":0.1467, ""dpj57nq"":0.0674, ""dpj57nk"":0.1041, ""dpj57nv"":0.0354, ""dpj57ny"":0}","{""00"": null, ""01"": null, ""02"": null, ""03"": null, ""04"": null, ""05"": null, ""06"": null, ""07"": 0.1504, ""08"": 0.1416, ""09"": null, ""10"": 0.1416, ""11"": 0.1416, ""12"": 0.1416, ""13"": null, ""14"": null, ""15"": 0.1416, ""16"": null, ""17"": null, ""18"": null, ""19"": null, ""20"": 0.1416, ""21"": null, ""22"": null, ""23"": null}",0,0,0,0,0,0,2018-05-02,1
dphupn9,40,-83,Columbus,Franklin,Ohio,United States of America,US-OH,2,1,5,0,4,8,"{""dphupnd"":0.1542, ""dphupn3"":0.1439, ""dphupn2"":0.116, ""dphupn9"":0.1851, ""dphupnb"":0.1752, ""dphupn8"":0.2256}","{""00"": null, ""01"": null, ""02"": null, ""03"": null, ""04"": null, ""05"": null, ""06"": null, ""07"": null, ""08"": null, ""09"": null, ""10"": null, ""11"": null, ""12"": null, ""13"": null, ""14"": null, ""15"": null, ""16"": null, ""17"": 0.25, ""18"": 0.25, ""19"": null, ""20"": 0.25, ""21"": null, ""22"": null, ""23"": 0.25}",0,0,0,0,0,0,2018-05-02,1
dphgup9,40,-83,Columbus,Franklin,Ohio,United States of America,US-OH,4,1,10,0,4,7,"{""dphgup2"":0.0624, ""dphgupd"":0.2558, ""dphgup8"":0.1807, ""dphgup9"":0.204, ""dphgup3"":0.0552, ""dphgupf"":0.122, ""dphgupc"":0.0641, ""dphgup6"":0.0558}","{""00"": 0.125, ""01"": null, ""02"": 0.125, ""03"": 0.125, ""04"": 0.125, ""05"": null, ""06"": null, ""07"": null, ""08"": null, ""09"": null, ""10"": null, ""11"": 0.125, ""12"": null, ""13"": null, ""14"": 0.125, ""15"": 0.125, ""16"": null, ""17"": null, ""18"": null, ""19"": null, ""20"": 0.125, ""21"": null, ""22"": null, ""23"": null}",0,0,0,0,0,0,2018-05-02,1
dphgr7c,39,-82,Columbus,Franklin,Ohio,United States of America,US-OH,5,2,8,0,5,7,"{""dphgrk4"":0.0241, ""dphgr7c"":0.1327, ""dphgr78"":0.1287, ""dphgrk1"":0.1575, ""dphgrk0"":0.121, ""dphgr7d"":0.1838, ""dphgr7b"":0.0684, ""dphgr7f"":0.1176, ""dphgr79"":0.0662}","{""00"": null, ""01"": null, ""02"": null, ""03"": null, ""04"": null, ""05"": null, ""06"": 0.25, ""07"": 0.25, ""08"": null, ""09"": null, ""10"": null, ""11"": 0.25, ""12"": null, ""13"": null, ""14"": null, ""15"": null, ""16"": 0.25, ""17"": null, ""18"": null, ""19"": null, ""20"": null, ""21"": null, ""22"": null, ""23"": null}",0,0,0,0,0,0,2018-05-02,1
dphgupd,40,-83,Columbus,Franklin,Ohio,United States of America,US-OH,3,1,5,0,4,6,"{""dphgupd"":0.1406, ""dphgup6"":0.1091, ""dphgup7"":0.1117, ""dphgupf"":0.1649, ""dphgup9"":0.1484, ""dphgupc"":0.0718, ""dphgupe"":0.0698, ""dphgupg"":0.1836}","{""00"": null, ""01"": null, ""02"": null, ""03"": null, ""04"": 0.1667, ""05"": null, ""06"": null, ""07"": null, ""08"": null, ""09"": 0.1667, ""10"": 0.1667, ""11"": 0.1667, ""12"": null, ""13"": null, ""14"": null, ""15"": null, ""16"": 0.1667, ""17"": 0.1667, ""18"": null, ""19"": null, ""20"": null, ""21"": null, ""22"": null, ""23"": null}",0,0,1,0,0,0,2018-05-02,1
