parkinggeohash,avglatitude,avglongitude,city,county,state,country,iso_3166_2,avgtimetopark,avgtimetoparkratio,totalsearching,percentsearching,avguniquegeohashes,avgtotalgeohashes,circlingdistribution,hourlydistribution,percentcar,percentmpv,percentldt,percentmdt,percenthdt,percentother,updatedate,version
dpjh53b,40,-82,Columbus,Franklin,Ohio,United States of America,US-OH,2,1,8,0,4,7,"{""dpjh561"":0.1375, ""dpjh560"":0.0879, ""dpjh51z"":0.1504, ""dpjh54p"":0.1203, ""dpjh51x"":0.0602, ""dpjh53c"":0.1368, ""dpjh53b"":0.3068}","{""00"": null, ""01"": null, ""02"": null, ""03"": null, ""04"": null, ""05"": null, ""06"": null, ""07"": null, ""08"": null, ""09"": null, ""10"": null, ""11"": 0.1429, ""12"": 0.1429, ""13"": 0.1429, ""14"": 0.1429, ""15"": 0.1429, ""16"": null, ""17"": null, ""18"": 0.1429, ""19"": 0.1429, ""20"": null, ""21"": null, ""22"": null, ""23"": null}",0,0,0,0,0,0,2018-05-02,1
dphgebg,39,-83,Columbus,Franklin,Ohio,United States of America,US-OH,4,2,5,0,4,7,"{""dphgebs"":0.0243, ""dphgebu"":0.081, ""dphgebd"":0.0914, ""dphgebf"":0.2555, ""dphgebe"":0.1255, ""dphgec4"":0.0405, ""dphgebg"":0.3819}","{""00"": null, ""01"": null, ""02"": null, ""03"": null, ""04"": null, ""05"": null, ""06"": null, ""07"": null, ""08"": null, ""09"": null, ""10"": null, ""11"": null, ""12"": 0.25, ""13"": null, ""14"": 0.25, ""15"": null, ""16"": null, ""17"": 0.25, ""18"": null, ""19"": null, ""20"": 0.25, ""21"": null, ""22"": null, ""23"": null}",0,0,0,0,0,0,2018-05-02,1
dphgw6b,40,-83,Columbus,Franklin,Ohio,United States of America,US-OH,5,1,13,0,5,8,"{""dphgw6c"":0.0685, ""dphgw5p"":0.1573, ""dphgw68"":0.1167, ""dphgw6b"":0.1815, ""dphgw4z"":0.3139, ""dphgw70"":0.076, ""dphgw71"":0.0375, ""dphgw69"":0.0486}","{""00"": null, ""01"": null, ""02"": null, ""03"": null, ""04"": null, ""05"": 0.1429, ""06"": 0.1429, ""07"": 0.1429, ""08"": null, ""09"": null, ""10"": 0.1429, ""11"": 0.1429, ""12"": 0.1429, ""13"": 0.1429, ""14"": null, ""15"": null, ""16"": null, ""17"": null, ""18"": null, ""19"": null, ""20"": null, ""21"": null, ""22"": null, ""23"": null}",0,0,0,0,0,0,2018-05-02,1
dphgr7n,39,-82,Columbus,Franklin,Ohio,United States of America,US-OH,4,1,586,0,4,7,"{""dphgr7j"":0.1312, ""dphgr6v"":0.0254, ""dphgr6y"":0.0715, ""dphgr7q"":0.1018, ""dphgr7r"":0.1441, ""dphgr7p"":0.1105, ""dphgr7n"":0.173, ""dphgr6z"":0.1049, ""dphgr7m"":0.1377}","{""00"": null, ""01"": null, ""02"": null, ""03"": null, ""04"": null, ""05"": null, ""06"": 0.146, ""07"": 0.1232, ""08"": 0.0877, ""09"": 0.0723, ""10"": 0.0757, ""11"": 0.0826, ""12"": 0.0837, ""13"": 0.0862, ""14"": 0.0838, ""15"": 0.0867, ""16"": 0.0723, ""17"": null, ""18"": null, ""19"": null, ""20"": null, ""21"": null, ""22"": null, ""23"": null}",0,0,0,0,0,0,2018-05-02,1
dphgscb,40,-83,Columbus,Franklin,Ohio,United States of America,US-OH,6,1,25,0,5,8,"{""dphgsf1"":0.102, ""dphgsc8"":0.0085, ""dphgsdp"":0.1355, ""dphgsf0"":0.2082, ""dphgscc"":0.309, ""dphgs9z"":0.0949, ""dphgscb"":0.1236, ""dphgsc9"":0.0184}","{""00"": null, ""01"": null, ""02"": null, ""03"": null, ""04"": null, ""05"": 0.0769, ""06"": 0.0769, ""07"": 0.0769, ""08"": 0.0769, ""09"": 0.0769, ""10"": 0.0769, ""11"": 0.0769, ""12"": 0.0769, ""13"": 0.0769, ""14"": 0.0769, ""15"": 0.0769, ""16"": null, ""17"": 0.0769, ""18"": null, ""19"": null, ""20"": 0.0769, ""21"": null, ""22"": null, ""23"": null}",0,0,0,0,0,0,2018-05-02,1
dphup3e,40,-82,Columbus,Franklin,Ohio,United States of America,US-OH,4,3,9,0,4,7,"{""dphup3s"":0.0396, ""dphup3d"":0.1116, ""dphup3f"":0.1668, ""dphup3e"":0.3275, ""dphup37"":0.0396, ""dphup3g"":0.184, ""dphup36"":0.0824, ""dphup3u"":0.0485}","{""00"": null, ""01"": null, ""02"": null, ""03"": null, ""04"": null, ""05"": null, ""06"": null, ""07"": null, ""08"": 0.1667, ""09"": 0.1667, ""10"": 0.1667, ""11"": 0.1667, ""12"": 0.1667, ""13"": null, ""14"": null, ""15"": 0.1667, ""16"": null, ""17"": null, ""18"": null, ""19"": null, ""20"": null, ""21"": null, ""22"": null, ""23"": null}",0,0,0,0,0,0,2018-05-02,1
dphgwbw,39,-83,Columbus,Franklin,Ohio,United States of America,US-OH,6,1,28,0,4,7,"{""dphgwbw"":0.1969, ""dphgwbt"":0.0797, ""dphgwbx"":0.0771, ""dphgwby"":0.1357, ""dphgwbm"":0.0737, ""dphgwbz"":0.2299, ""dphgwbr"":0.0594, ""dphgwbv"":0.1145, ""dphgwbq"":0.033}","{""00"": null, ""01"": null, ""02"": null, ""03"": null, ""04"": null, ""05"": null, ""06"": 0.0909, ""07"": null, ""08"": 0.0909, ""09"": 0.0909, ""10"": 0.0909, ""11"": 0.0909, ""12"": 0.0909, ""13"": 0.0909, ""14"": 0.0909, ""15"": null, ""16"": 0.0909, ""17"": 0.0909, ""18"": 0.0909, ""19"": null, ""20"": null, ""21"": null, ""22"": null, ""23"": null}",0,0,0,0,0,0,2018-05-02,1
dpjh56c,40,-82,Columbus,Franklin,Ohio,United States of America,US-OH,5,1,7,0,6,9,"{""dpjh56c"":0.2302, ""dpjh56b"":0.0439, ""dpjh570"":0.0401, ""dpjh56f"":0.0776, ""dpjh569"":0.3985, ""dpjh56d"":0.0675, ""dpjh571"":0.0776, ""dpjh574"":0.0646}","{""00"": null, ""01"": null, ""02"": null, ""03"": null, ""04"": null, ""05"": null, ""06"": null, ""07"": null, ""08"": 0.1667, ""09"": 0.1667, ""10"": 0.1667, ""11"": null, ""12"": 0.1667, ""13"": null, ""14"": null, ""15"": 0.1667, ""16"": null, ""17"": null, ""18"": 0.1667, ""19"": null, ""20"": null, ""21"": null, ""22"": null, ""23"": null}",0,0,0,0,0,0,2018-05-02,1
dpj57nm,39,-82,Columbus,Franklin,Ohio,United States of America,US-OH,4,1,6,0,4,6,"{""dpj57ns"":0.075, ""dpj57nq"":0.1684, ""dpj57nk"":0.232, ""dpj57nm"":0.2997, ""dpj57nw"":0.0885, ""dpj57nt"":0.1364}","{""00"": null, ""01"": null, ""02"": null, ""03"": null, ""04"": null, ""05"": null, ""06"": null, ""07"": 0.25, ""08"": null, ""09"": null, ""10"": null, ""11"": null, ""12"": 0.25, ""13"": null, ""14"": 0.25, ""15"": 0.25, ""16"": null, ""17"": null, ""18"": null, ""19"": null, ""20"": null, ""21"": null, ""22"": null, ""23"": null}",0,0,0,0,0,0,2018-05-02,1
dphgwvy,40,-83,Columbus,Franklin,Ohio,United States of America,US-OH,3,1,5,0,6,9,"{""dphgwvx"":0.1085, ""dphgwyp"":0.0944, ""dphgwvz"":0.0958, ""dphgwyj"":0.1034, ""dphgwvy"":0.173, ""dphgwyn"":0.2157, ""dphgwvv"":0.1087, ""dphgwvw"":0.1004}","{""00"": null, ""01"": null, ""02"": null, ""03"": null, ""04"": null, ""05"": null, ""06"": null, ""07"": null, ""08"": null, ""09"": 0.25, ""10"": null, ""11"": 0.25, ""12"": 0.25, ""13"": null, ""14"": null, ""15"": 0.25, ""16"": null, ""17"": null, ""18"": null, ""19"": null, ""20"": null, ""21"": null, ""22"": null, ""23"": null}",0,0,0,0,0,0,2018-05-02,1
dpj51vh,39,-82,Columbus,Franklin,Ohio,United States of America,US-OH,3,2,5,0,4,7,"{""dpj51uv"":0.1899, ""dpj51ug"":0.1776, ""dpj51vj"":0.0703, ""dpj51v5"":0.0797, ""dpj51uu"":0.1998, ""dpj51vh"":0.2828}","{""00"": null, ""01"": null, ""02"": null, ""03"": null, ""04"": null, ""05"": null, ""06"": null, ""07"": null, ""08"": null, ""09"": 0.2, ""10"": 0.2, ""11"": 0.2, ""12"": 0.2, ""13"": null, ""14"": 0.2, ""15"": null, ""16"": null, ""17"": null, ""18"": null, ""19"": null, ""20"": null, ""21"": null, ""22"": null, ""23"": null}",0,0,0,0,0,0,2018-05-02,1
dphgzqj,40,-82,Columbus,Franklin,Ohio,United States of America,US-OH,2,1,6,0,5,8,"{""dphgzmu"":0.237, ""dphgzmv"":0.1234, ""dphgzqq"":0.0739, ""dphgzqn"":0.1656, ""dphgzqj"":0.4002}","{""00"": null, ""01"": null, ""02"": null, ""03"": null, ""04"": null, ""05"": null, ""06"": null, ""07"": null, ""08"": null, ""09"": 0.2, ""10"": 0.2, ""11"": null, ""12"": 0.2, ""13"": 0.2, ""14"": 0.2, ""15"": null, ""16"": null, ""17"": null, ""18"": null, ""19"": null, ""20"": null, ""21"": null, ""22"": null, ""23"": null}",0,0,0,0,0,0,2018-05-02,1
dphgr7k,39,-82,Columbus,Franklin,Ohio,United States of America,US-OH,6,1,8,0,5,10,"{""dphgr7t"":0.0364, ""dphgr75"":0.1331, ""dphgr7s"":0.058, ""dphgr77"":0.1302, ""dphgr7h"":0.1523, ""dphgr7k"":0.1581, ""dphgr7e"":0.0841, ""dphgr7j"":0.1316, ""dphgr7m"":0.1162}","{""00"": null, ""01"": null, ""02"": null, ""03"": null, ""04"": null, ""05"": null, ""06"": 0.1667, ""07"": 0.1667, ""08"": null, ""09"": null, ""10"": 0.1667, ""11"": 0.1667, ""12"": 0.1667, ""13"": 0.1667, ""14"": null, ""15"": null, ""16"": null, ""17"": null, ""18"": null, ""19"": null, ""20"": null, ""21"": null, ""22"": null, ""23"": null}",0,0,0,0,0,0,2018-05-02,1
dphgrh5,39,-83,Columbus,Franklin,Ohio,United States of America,US-OH,4,2,7,0,4,7,"{""dphgr5f"":0.1657, ""dphgrh4"":0.1682, ""dphgrh5"":0.1821, ""dphgrh7"":0.22, ""dphgrh6"":0.086, ""dphgr5g"":0.1022, ""dphgrhh"":0.0759}","{""00"": null, ""01"": null, ""02"": null, ""03"": null, ""04"": null, ""05"": null, ""06"": null, ""07"": 0.2, ""08"": null, ""09"": 0.2, ""10"": null, ""11"": 0.2, ""12"": null, ""13"": 0.2, ""14"": null, ""15"": 0.2, ""16"": null, ""17"": null, ""18"": null, ""19"": null, ""20"": null, ""21"": null, ""22"": null, ""23"": null}",0,0,0,0,0,0,2018-05-02,1
dpj58h3,40,-82,Columbus,Franklin,Ohio,United States of America,US-OH,4,4,7,0,4,7,"{""dpj58h0"":0.125, ""dpj58hd"":0.0625, ""dpj58h2"":0.1287, ""dpj58h3"":0.2894, ""dpj58h8"":0.1324, ""dpj58h1"":0.0184, ""dpj58h6"":0.0588, ""dpj58h9"":0.1848}","{""00"": null, ""01"": null, ""02"": null, ""03"": null, ""04"": null, ""05"": null, ""06"": null, ""07"": null, ""08"": null, ""09"": null, ""10"": 0.2, ""11"": null, ""12"": null, ""13"": 0.2, ""14"": 0.2, ""15"": 0.2, ""16"": null, ""17"": null, ""18"": 0.2, ""19"": null, ""20"": null, ""21"": null, ""22"": null, ""23"": null}",0,0,0,0,0,0,2018-05-02,1
dphgkb7,39,-83,Columbus,Franklin,Ohio,United States of America,US-OH,5,1,11,0,5,9,"{""dphgkbk"":0.0334, ""dphgkbh"":0.1437, ""dphgkbe"":0.3032, ""dphgkb5"":0.0129, ""dphgkbs"":0.164, ""dphgkb7"":0.3428}","{""00"": null, ""01"": null, ""02"": null, ""03"": null, ""04"": null, ""05"": null, ""06"": null, ""07"": 0.1429, ""08"": 0.1429, ""09"": 0.1429, ""10"": null, ""11"": null, ""12"": null, ""13"": 0.1429, ""14"": 0.1429, ""15"": 0.1429, ""16"": null, ""17"": null, ""18"": 0.1429, ""19"": null, ""20"": null, ""21"": null, ""22"": null, ""23"": null}",0,0,0,0,0,0,2018-05-02,1
dpj59c7,39,-82,Columbus,Franklin,Ohio,United States of America,US-OH,3,2,7,0,5,8,"{""dpj59cs"":0.0803, ""dpj59ch"":0.0428, ""dpj59c7"":0.4012, ""dpj59c6"":0.141, ""dpj59ce"":0.0872, ""dpj59ck"":0.1564, ""dpj59cd"":0.091}","{""00"": null, ""01"": null, ""02"": null, ""03"": null, ""04"": null, ""05"": null, ""06"": null, ""07"": null, ""08"": null, ""09"": 0.1667, ""10"": 0.1667, ""11"": 0.1667, ""12"": null, ""13"": 0.1667, ""14"": null, ""15"": null, ""16"": 0.1667, ""17"": null, ""18"": null, ""19"": 0.1667, ""20"": null, ""21"": null, ""22"": null, ""23"": null}",0,0,0,0,0,0,2018-05-02,1
dphgrk0,39,-83,Columbus,Franklin,Ohio,United States of America,US-OH,4,1,20,0,4,7,"{""dphgr7c"":0.1001, ""dphgrhp"":0.107, ""dphgr7b"":0.2036, ""dphgr5z"":0.1276, ""dphgrk0"":0.1836, ""dphgrk2"":0.1147, ""dphgrhr"":0.0798, ""dphgrk1"":0.0836}","{""00"": null, ""01"": null, ""02"": null, ""03"": null, ""04"": null, ""05"": 0.0909, ""06"": 0.0909, ""07"": null, ""08"": null, ""09"": 0.0909, ""10"": 0.0909, ""11"": 0.0909, ""12"": 0.0909, ""13"": 0.0909, ""14"": null, ""15"": null, ""16"": 0.0909, ""17"": 0.0909, ""18"": 0.0909, ""19"": 0.0909, ""20"": null, ""21"": null, ""22"": null, ""23"": null}",0,0,0,0,0,0,2018-05-02,1
dphgx4e,40,-83,Columbus,Franklin,Ohio,United States of America,US-OH,7,1,6,0,4,9,"{""dphgx47"":0.0269, ""dphgx4e"":0.2446, ""dphgx46"":0.1643, ""dphgx4d"":0.1693, ""dphgx4f"":0.1713, ""dphgx4u"":0.0717, ""dphgx4g"":0.0687, ""dphgx4s"":0.0574, ""dphgx4k"":0.0259}","{""00"": null, ""01"": null, ""02"": null, ""03"": null, ""04"": null, ""05"": null, ""06"": null, ""07"": null, ""08"": 0.1667, ""09"": 0.1667, ""10"": null, ""11"": 0.1667, ""12"": 0.1667, ""13"": null, ""14"": null, ""15"": 0.1667, ""16"": 0.1667, ""17"": null, ""18"": null, ""19"": null, ""20"": null, ""21"": null, ""22"": null, ""23"": null}",0,0,0,0,0,0,2018-05-02,1
dphgr6q,39,-82,Columbus,Franklin,Ohio,United States of America,US-OH,4,1,13,0,5,7,"{""dphgr6j"":0.0143, ""dphgr6p"":0.0661, ""dphgr6m"":0.0916, ""dphgr6w"":0.1786, ""dphgr6x"":0.1684, ""dphgr6t"":0.0536, ""dphgr6n"":0.1612, ""dphgr6q"":0.1455, ""dphgr6r"":0.1206}","{""00"": null, ""01"": null, ""02"": null, ""03"": null, ""04"": null, ""05"": null, ""06"": null, ""07"": 0.1176, ""08"": 0.1176, ""09"": null, ""10"": 0.1176, ""11"": 0.1176, ""12"": 0.1176, ""13"": 0.1176, ""14"": 0.1765, ""15"": null, ""16"": null, ""17"": 0.1176, ""18"": null, ""19"": null, ""20"": null, ""21"": null, ""22"": null, ""23"": null}",0,0,0,0,0,0,2018-05-02,1
dphgr2c,39,-82,Columbus,Franklin,Ohio,United States of America,US-OH,5,1,6,0,5,8,"{""dphgr2b"":0.0267, ""dphgr2c"":0.2343, ""dphgr31"":0.0908, ""dphgr2f"":0.1402, ""dphgr30"":0.1536, ""dphgr29"":0.2764, ""dphgr34"":0.0781}","{""00"": null, ""01"": null, ""02"": null, ""03"": null, ""04"": null, ""05"": null, ""06"": null, ""07"": 0.2, ""08"": null, ""09"": null, ""10"": null, ""11"": null, ""12"": null, ""13"": 0.2, ""14"": 0.2, ""15"": null, ""16"": null, ""17"": null, ""18"": null, ""19"": 0.2, ""20"": 0.2, ""21"": null, ""22"": null, ""23"": null}",0,0,0,0,0,0,2018-05-02,1
dphgqwv,39,-83,Columbus,Franklin,Ohio,United States of America,US-OH,3,1,10,0,4,7,"{""dphgqwy"":0.0426, ""dphgqwu"":0.0759, ""dphgqwt"":0.216, ""dphgqww"":0.1114, ""dphgqxn"":0.0326, ""dphgqwv"":0.2861, ""dphgqxj"":0.2354}","{""00"": null, ""01"": null, ""02"": null, ""03"": null, ""04"": 0.1667, ""05"": 0.1667, ""06"": null, ""07"": null, ""08"": null, ""09"": 0.1667, ""10"": null, ""11"": 0.1667, ""12"": 0.1667, ""13"": null, ""14"": null, ""15"": 0.1667, ""16"": null, ""17"": null, ""18"": null, ""19"": null, ""20"": null, ""21"": null, ""22"": null, ""23"": null}",0,0,0,0,0,0,2018-05-02,1
dphgvjv,40,-83,Columbus,Franklin,Ohio,United States of America,US-OH,4,2,5,0,4,6,"{""dphgvju"":0.158, ""dphgvjs"":0.2446, ""dphgvjv"":0.2416, ""dphgvjw"":0.0459, ""dphgvjt"":0.0645, ""dphgvnj"":0.0703, ""dphgvnn"":0.1257, ""dphgvjy"":0.0495}","{""00"": null, ""01"": null, ""02"": null, ""03"": null, ""04"": null, ""05"": null, ""06"": null, ""07"": null, ""08"": 0.2, ""09"": null, ""10"": null, ""11"": null, ""12"": null, ""13"": 0.2, ""14"": null, ""15"": 0.2, ""16"": 0.2, ""17"": null, ""18"": null, ""19"": null, ""20"": 0.2, ""21"": null, ""22"": null, ""23"": null}",0,0,0,0,0,0,2018-05-02,1
dphuj5p,40,-83,Columbus,Franklin,Ohio,United States of America,US-OH,5,1,5,0,5,7,"{""dphuj4z"":0.1528, ""dphuj5p"":0.13, ""dphuj5r"":0.0895, ""dphuj4y"":0.0888, ""dphuj5n"":0.2688, ""dphuj70"":0.1208, ""dphuj5q"":0.1492}","{""00"": null, ""01"": null, ""02"": null, ""03"": null, ""04"": null, ""05"": null, ""06"": null, ""07"": null, ""08"": null, ""09"": null, ""10"": null, ""11"": 0.25, ""12"": null, ""13"": 0.25, ""14"": null, ""15"": 0.25, ""16"": null, ""17"": null, ""18"": 0.25, ""19"": null, ""20"": null, ""21"": null, ""22"": null, ""23"": null}",0,0,0,0,0,0,2018-05-02,1
dpj5c4x,40,-82,Columbus,Franklin,Ohio,United States of America,US-OH,5,1,6,0,4,8,"{""dpj5c4w"":0.1111, ""dpj5c68"":0.1331, ""dpj5c4z"":0.1458, ""dpj5c4y"":0.232, ""dpj5c6b"":0.1057, ""dpj5c4x"":0.2724}","{""00"": null, ""01"": null, ""02"": null, ""03"": null, ""04"": null, ""05"": null, ""06"": null, ""07"": null, ""08"": null, ""09"": null, ""10"": 0.25, ""11"": 0.25, ""12"": 0.25, ""13"": null, ""14"": null, ""15"": null, ""16"": null, ""17"": null, ""18"": 0.25, ""19"": null, ""20"": null, ""21"": null, ""22"": null, ""23"": null}",0,0,0,0,0,0,2018-05-02,1
dphgr31,39,-82,Columbus,Franklin,Ohio,United States of America,US-OH,4,1,14,0,5,10,"{""dphgr31"":0.1938, ""dphgr2f"":0.0344, ""dphgr36"":0.1023, ""dphgr34"":0.0824, ""dphgr30"":0.1638, ""dphgr2b"":0.0511, ""dphgr33"":0.2393, ""dphgr2c"":0.133}","{""00"": null, ""01"": null, ""02"": null, ""03"": null, ""04"": null, ""05"": null, ""06"": null, ""07"": null, ""08"": 0.1429, ""09"": 0.1429, ""10"": 0.1429, ""11"": 0.1429, ""12"": 0.1429, ""13"": 0.1429, ""14"": 0.1429, ""15"": null, ""16"": null, ""17"": null, ""18"": null, ""19"": null, ""20"": null, ""21"": null, ""22"": null, ""23"": null}",0,0,0,0,0,0,2018-05-02,1
dphgwbt,39,-83,Columbus,Franklin,Ohio,United States of America,US-OH,5,1,6,0,5,10,"{""dphgwbs"":0.267, ""dphgwbu"":0.0502, ""dphgwbq"":0.039, ""dphgwbv"":0.2113, ""dphgwbk"":0.0743, ""dphgwbt"":0.0489, ""dphgwby"":0.1539, ""dphgwbw"":0.1554}","{""00"": null, ""01"": null, ""02"": null, ""03"": null, ""04"": null, ""05"": null, ""06"": null, ""07"": null, ""08"": null, ""09"": 0.25, ""10"": null, ""11"": 0.25, ""12"": null, ""13"": 0.25, ""14"": null, ""15"": 0.25, ""16"": null, ""17"": null, ""18"": null, ""19"": null, ""20"": null, ""21"": null, ""22"": null, ""23"": null}",0,0,0,0,0,0,2018-05-02,1
dphgr9b,39,-82,Columbus,Franklin,Ohio,United States of America,US-OH,3,1,5,0,4,7,"{""dphgr9c"":0.1187, ""dphgrd0"":0.3971, ""dphgr98"":0.1024, ""dphgr9b"":0.1873, ""dphgr99"":0, ""dphgr3z"":0.0921, ""dphgrd1"":0.0716, ""dphgr6p"":0.0307}","{""00"": null, ""01"": null, ""02"": null, ""03"": null, ""04"": null, ""05"": null, ""06"": null, ""07"": null, ""08"": null, ""09"": null, ""10"": 0.3333, ""11"": 0.3333, ""12"": 0.3333, ""13"": null, ""14"": null, ""15"": null, ""16"": null, ""17"": null, ""18"": null, ""19"": null, ""20"": null, ""21"": null, ""22"": null, ""23"": null}",0,0,0,0,0,0,2018-05-02,1
dphgr5p,39,-83,Columbus,Franklin,Ohio,United States of America,US-OH,6,1,7,0,5,8,"{""dphgr5q"":0.0041, ""dphgr6b"":0.0705, ""dphgr4z"":0.1297, ""dphgr70"":0.1246, ""dphgr5p"":0.216, ""dphgr4y"":0.1264, ""dphgr5n"":0.0958, ""dphgr72"":0.106, ""dphgr5r"":0.127}","{""00"": null, ""01"": null, ""02"": null, ""03"": null, ""04"": null, ""05"": null, ""06"": null, ""07"": 0.2, ""08"": null, ""09"": 0.2, ""10"": 0.2, ""11"": 0.2, ""12"": 0.2, ""13"": null, ""14"": null, ""15"": null, ""16"": null, ""17"": null, ""18"": null, ""19"": null, ""20"": null, ""21"": null, ""22"": null, ""23"": null}",0,0,0,0,0,0,2018-05-02,1
dphg7y6,39,-83,Columbus,Franklin,Ohio,United States of America,US-OH,4,1,7,0,5,8,"{""dphg7y9"":0.0504, ""dphg7y3"":0.0588, ""dphg7y6"":0.0953, ""dphg7y5"":0.1082, ""dphg7ye"":0.1202, ""dphg7y7"":0.1153, ""dphg7y1"":0.4066, ""dphg7yd"":0.045}","{""00"": null, ""01"": null, ""02"": null, ""03"": null, ""04"": null, ""05"": 0.1429, ""06"": null, ""07"": null, ""08"": null, ""09"": null, ""10"": 0.1429, ""11"": 0.1429, ""12"": 0.1429, ""13"": null, ""14"": 0.1429, ""15"": 0.1429, ""16"": null, ""17"": null, ""18"": null, ""19"": 0.1429, ""20"": null, ""21"": null, ""22"": null, ""23"": null}",0,0,0,0,0,0,2018-05-02,1
dphgur0,40,-83,Columbus,Franklin,Ohio,United States of America,US-OH,3,1,11,0,6,8,"{""dphguqc"":0.0036, ""dphguqb"":0.1819, ""dphgupr"":0.0596, ""dphgur3"":0.0298, ""dphgur0"":0.5364, ""dphgunz"":0.048, ""dphgupp"":0.0655, ""dphgur2"":0.0751}","{""00"": null, ""01"": null, ""02"": null, ""03"": null, ""04"": null, ""05"": null, ""06"": 0.1667, ""07"": null, ""08"": null, ""09"": null, ""10"": 0.1667, ""11"": null, ""12"": 0.1667, ""13"": 0.1667, ""14"": null, ""15"": null, ""16"": null, ""17"": 0.1667, ""18"": 0.1667, ""19"": null, ""20"": null, ""21"": null, ""22"": null, ""23"": null}",0,0,0,0,0,0,2018-05-02,1
dphgkvy,39,-83,Columbus,Franklin,Ohio,United States of America,US-OH,4,1,40,0,6,9,"{""dphgkvy"":0.3241, ""dphgkyp"":0.0976, ""dphgkvx"":0.082, ""dphgkvv"":0.1114, ""dphgkyj"":0.0028, ""dphgkvz"":0.0206, ""dphgkvw"":0.1955, ""dphgkyn"":0.1438, ""dphgkvt"":0.0221}","{""00"": null, ""01"": null, ""02"": null, ""03"": null, ""04"": null, ""05"": 0.0899, ""06"": null, ""07"": 0.0899, ""08"": 0.0899, ""09"": null, ""10"": null, ""11"": null, ""12"": 0.0899, ""13"": 0.0899, ""14"": 0.0899, ""15"": 0.1011, ""16"": 0.0899, ""17"": 0.0899, ""18"": 0.0899, ""19"": null, ""20"": null, ""21"": 0.0899, ""22"": null, ""23"": null}",0,0,0,0,0,0,2018-05-02,1
dphgurb,40,-83,Columbus,Franklin,Ohio,United States of America,US-OH,3,1,7,0,6,8,"{""dphgupz"":0.0527, ""dphgupx"":0.0611, ""dphuh0p"":0.0383, ""dphgur8"":0.0484, ""dphuh20"":0.0383, ""dphgurb"":0.1109, ""dphuh21"":0.2491, ""dphgurc"":0.1052, ""dphgur9"":0.296}","{""00"": null, ""01"": null, ""02"": null, ""03"": null, ""04"": null, ""05"": null, ""06"": null, ""07"": null, ""08"": null, ""09"": 0.2, ""10"": 0.2, ""11"": 0.2, ""12"": null, ""13"": null, ""14"": null, ""15"": null, ""16"": null, ""17"": null, ""18"": null, ""19"": null, ""20"": null, ""21"": 0.2, ""22"": 0.2, ""23"": null}",0,0,0,0,0,0,2018-05-02,1
dphups6,40,-82,Columbus,Franklin,Ohio,United States of America,US-OH,2,1,7,0,4,6,"{""dphups7"":0.0966, ""dphups6"":0.3262, ""dphups3"":0.0436, ""dphupsd"":0.1553, ""dphups5"":0.1144, ""dphupse"":0.0507, ""dphups9"":0.0681, ""dphups4"":0.1451}","{""00"": null, ""01"": null, ""02"": null, ""03"": null, ""04"": null, ""05"": null, ""06"": null, ""07"": null, ""08"": 0.2, ""09"": null, ""10"": 0.2, ""11"": null, ""12"": 0.2, ""13"": 0.2, ""14"": null, ""15"": null, ""16"": null, ""17"": 0.2, ""18"": null, ""19"": null, ""20"": null, ""21"": null, ""22"": null, ""23"": null}",0,0,0,0,0,0,2018-05-02,1
dphgh75,39,-83,Columbus,Franklin,Ohio,United States of America,US-OH,9,1,6,0,4,7,"{""dphgh74"":0.478, ""dphgh7k"":0.046, ""dphgh76"":0.163, ""dphgh77"":0, ""dphgh7h"":0.0697, ""dphgh75"":0.2433}","{""00"": null, ""01"": null, ""02"": null, ""03"": null, ""04"": null, ""05"": null, ""06"": null, ""07"": null, ""08"": 0.2, ""09"": null, ""10"": null, ""11"": 0.2, ""12"": 0.2, ""13"": 0.2, ""14"": null, ""15"": 0.2, ""16"": null, ""17"": null, ""18"": null, ""19"": null, ""20"": null, ""21"": null, ""22"": null, ""23"": null}",0,0,0,0,0,0,2018-05-02,1
dphgr8z,39,-82,Columbus,Franklin,Ohio,United States of America,US-OH,3,1,5,0,5,7,"{""dphgrbb"":0.2348, ""dphgrb8"":0.1575, ""dphgr8y"":0.1565, ""dphgr8w"":0.0288, ""dphgr8z"":0.1455, ""dphgr9p"":0.0103, ""dphgr9n"":0.0997, ""dphgr8x"":0.1668}","{""00"": null, ""01"": null, ""02"": null, ""03"": null, ""04"": null, ""05"": 0.25, ""06"": null, ""07"": null, ""08"": 0.25, ""09"": null, ""10"": null, ""11"": null, ""12"": 0.25, ""13"": null, ""14"": null, ""15"": 0.25, ""16"": null, ""17"": null, ""18"": null, ""19"": null, ""20"": null, ""21"": null, ""22"": null, ""23"": null}",0,0,0,0,0,0,2018-05-02,1
dphgm1s,39,-83,Columbus,Franklin,Ohio,United States of America,US-OH,6,1,5,0,4,7,"{""dphgm1t"":0.0787, ""dphgm17"":0.3209, ""dphgm1m"":0.0598, ""dphgm1v"":0.0896, ""dphgm1s"":0.2817, ""dphgm1u"":0.0487, ""dphgm1k"":0.1205}","{""00"": null, ""01"": null, ""02"": null, ""03"": null, ""04"": null, ""05"": null, ""06"": null, ""07"": null, ""08"": null, ""09"": 0.25, ""10"": null, ""11"": null, ""12"": null, ""13"": null, ""14"": 0.25, ""15"": 0.25, ""16"": null, ""17"": 0.25, ""18"": null, ""19"": null, ""20"": null, ""21"": null, ""22"": null, ""23"": null}",0,0,0,0,0,0,2018-05-02,1
