Device,Trip,Time,NativeFlag,LocalTimeMS,IntersectId,LaneId,MovementPhase,SignalGroupId,MinEndTime
2004,32,98350,1,83587121,4096,6,1,4,7930
2004,32,98400,1,83587621,4096,6,1,4,7930
2004,32,98450,1,83588121,4096,6,1,4,7930
2004,32,98500,1,83588621,4096,6,1,4,7930
2004,32,98550,1,83589121,4096,6,1,4,7930
2004,32,98600,1,83589621,4096,6,1,4,7930
2004,32,98650,1,83590121,4096,6,1,4,7930
2004,32,98700,1,83590621,4096,6,1,4,7930
2004,32,98750,1,83591121,4096,6,1,4,7930
2004,32,98800,1,83591621,4096,6,1,4,7930
2004,32,98850,1,83592122,4096,6,1,4,7930
2004,32,98900,1,83592622,4096,6,1,4,7930
2004,32,98950,1,83593122,4096,6,1,4,7930
2004,32,99000,1,83593622,4096,6,1,4,7930
2004,32,99050,1,83594122,4096,6,1,4,8045
2004,32,99100,1,83594622,4096,6,1,4,8045
2004,32,99150,1,83595122,4096,6,1,4,8045
2004,32,99400,1,83597622,4096,2,1,8,8045
2004,32,99450,1,83598122,4096,2,1,8,8045
2004,32,105800,1,83661627,4096,4,3,6,8690
2004,32,105850,1,83662127,4096,4,3,6,8690
2004,32,105900,1,83662627,4096,4,3,6,8690
2004,32,105950,1,83663127,4096,4,3,6,8690
2004,32,106000,1,83663627,4096,4,3,6,8690
2004,32,106050,1,83664127,4096,4,3,6,8690
2004,32,106100,1,83664627,4096,4,3,6,8690
2004,32,106150,1,83665127,4096,4,3,6,8690
2004,32,106200,1,83665627,4096,4,3,6,8690
2004,32,106250,1,83666127,4096,4,3,6,8690
2004,32,106300,1,83666627,4096,4,3,6,8690
2004,32,106350,1,83667127,4096,4,3,6,8690
2004,32,106400,1,83667627,4096,4,3,6,8690
2004,32,106450,1,83668127,4096,4,3,6,8690
2004,32,106500,1,83668627,4096,4,3,6,8690
2004,32,106550,1,83669127,4096,4,3,6,8690
2004,32,106600,1,83669627,4096,4,3,6,8690
2004,32,106650,1,83670127,4096,4,1,6,8875
2004,32,106700,1,83670627,4096,4,1,6,8875
2004,32,106750,1,83671127,4096,4,1,6,8875
2004,32,106800,1,83671627,4096,4,1,6,8875
2004,32,106850,1,83672127,4096,4,1,6,8875
2004,32,106900,1,83672627,4096,4,1,6,8875
2004,32,106950,1,83673128,4096,4,1,6,8875
2004,32,107000,1,83673628,4096,4,1,6,8875
